"States Affected","No. of Cases (Lab Confirmed)","No. of Active Cases","No. Discharged","No of Deaths"
"Lagos",731,584,128,19
"Abuja FCT",141,103,35,3
"Kano",77,76,0,1
"Ogun",35,29,5,1
"Gombe",35,35,0,0
"Osun",34,14,18,2
"Katsina",30,24,4,2
"Borno",30,28,0,2
"Edo",25,14,8,3
"Oyo",21,10,9,2
"Akwa Ibom",12,2,9,1
"Kaduna",15,9,6,0
"Bauchi",14,8,6,0
"Sokoto",10,10,0,0
"Kwara",11,9,2,0
"Ekiti",8,5,2,1
"Ondo",8,6,2,0
"Delta",6,5,0,1
"Rivers",6,2,2,2
"Taraba",6,6,0,0
"Abia",2,2,0,0
"Enugu",2,0,2,0
"Niger",2,2,0,0
"Jigawa",2,2,0,0
"Zamfara",2,2,0,0
NA,NA,NA,NA,NA
"Benue",1,1,0,0
"Anambra",1,0,1,0
"Plateau",1,1,0,0
"Imo",1,1,0,0
"Bayelsa",1,1,0,0
"Ebonyi",1,1,0,0
"Kebbi",1,1,0,0
"Total",1273,994,239,40
