"States Affected","No. of Cases (Lab Confirmed)","No. of Active Cases","No. Discharged","No of Deaths"
"Lagos",582,460,106,16
"Abuja FCT",133,95,35,3
"Kano",73,72,0,1
"Ogun",29,23,5,1
"Katsina",21,20,0,1
"Osun",20,2,18,0
"Oyo",17,11,5,1
"Edo",17,8,7,2
"Borno",12,10,0,2
"Kwara",11,9,2,0
"Akwa Ibom",11,7,3,1
"Kaduna",9,5,4,0
"Gombe",9,9,0,0
"Bauchi",8,3,5,0
"Delta",6,5,0,1
"Ekiti",4,1,2,1
"Ondo",3,2,1,0
"Abia",2,2,0,0
"Enugu",2,0,2,0
"Rivers",3,0,2,1
"Niger",2,2,0,0
"Jigawa",2,2,0,0
"Benue",1,1,0,0
"Anambra",1,1,0,0
"Sokoto",1,1,0,0
"Adamawa",1,1,0,0
"Plateau",1,1,0,0
"Total",981,753,197,31
