"States Affected","No. of Cases (Lab Confirmed)","No. of Active Cases","No. Discharged","No of Deaths"
"Lagos","376‬",266,97,13
"Abuja FCT","89",51,35,3
"Kano","59",58,0,1
"Osun","20",2,18,0
"Oyo","16",11,5,0
"Edo","15",7,7,1
"Ogun","12",7,5,0
"Katsina","12",11,0,1
"Kwara","9",7,2,0
"Akwa Ibom","9",5,3,1
"Kaduna","9",5,4,0
"Bauchi","7",2,5,0
"Gombe","5",5,0,0
"Delta","4",3,0,1
"Ekiti","4",2,2,0
"Borno","3",2,0,1
"Ondo","3",2,1,0
"Abia","2",2,0,0
"Enugu","2",0,2,0
"Rivers","2",0,2,0
"Niger","2",2,0,0
"Jigawa","2",2,0,0
"Benue","1",1,0,0
"Anambra","1",1,0,0
"Sokoto","1",1,0,0
"Total","665",455,188,22
