"States Affected","No. of Cases (Lab Confirmed)","No. of Active Cases","No. Discharged","No of Deaths"
"Lagos",844,682,143,19
"Abuja FCT",158,119,36,3
"Kano",115,114,0,1
"Borno",53,51,0,2
"Ogun",50,42,7,1
"Gombe",46,46,0,0
"Osun",34,14,18,2
"Katsina",30,28,0,2
"Edo",30,19,8,3
"Bauchi",29,23,6,0
"Oyo",21,10,9,2
"Sokoto",19,16,0,3
"Kaduna",15,9,6,0
"Akwa Ibom",12,2,9,1
"Kwara",11,9,2,0
"Ekiti",8,5,2,1
"Ondo",8,5,3,0
"Delta",7,3,2,2
"Rivers",7,3,2,2
"Taraba",8,8,0,0
"Abia",2,2,0,0
"Enugu",3,1,2,0
"Niger",2,2,0,0
"Jigawa",7,7,0,0
"Zamfara",4,4,0,0
NA,NA,NA,NA,NA
"Benue",1,1,0,0
"Anambra",1,0,1,0
"Plateau",1,1,0,0
"Imo",1,1,0,0
"Bayelsa",1,1,0,0
"Ebonyi",1,1,0,0
"Kebbi",1,1,0,0
"Nasarawa",1,1,0,0
"Total",1532,1233,255,44
