"States Affected","No. of Cases (Lab Confirmed)","No. of Active Cases","No. Discharged","No of Deaths"
"Lagos",689,548,122,19
"Abuja FCT",138,100,35,3
"Kano",77,76,0,1
"Ogun",35,29,5,1
"Gombe",30,30,0,0
"Katsina",30,25,4,1
"Osun",32,14,18,0
"Edo",22,12,7,3
"Borno",30,28,0,2
"Oyo",18,12,5,1
"Kwara",11,9,2,0
"Akwa Ibom",11,4,6,1
"Bauchi",11,6,5,0
"Kaduna",10,6,4,0
"Ekiti",8,5,2,1
"Delta",6,5,0,1
"Ondo",4,2,2,0
"Rivers",3,0,2,1
"Abia",2,2,0,0
"Enugu",2,0,2,0
"Niger",2,2,0,0
"Jigawa",2,2,0,0
"Sokoto",2,2,0,0
"Zamfara",2,2,0,0
NA,NA,NA,NA,NA
"Benue",1,1,0,0
"Anambra",1,0,1,0
"Plateau",1,1,0,0
"Imo",1,1,0,0
"Total",1182,925,222,35
