"States Affected","No. of Cases (Lab Confirmed)","No. of Active Cases","No. Discharged","No of Deaths"
"Lagos",931,718,192,21
"Abuja FCT",174,135,36,3
"Kano",139,136,0,3
"Gombe",64,64,0,0
"Borno",59,54,0,5
"Ogun",50,43,6,1
"Katsina",40,38,0,2
"Edo",37,25,9,3
"Osun",34,14,18,2
"Kaduna",32,26,6,0
"Bauchi",29,23,6,0
"Sokoto",27,24,0,3
"Oyo",21,10,9,2
"Akwa Ibom",12,2,9,1
"Kwara",11,9,2,0
"Ekiti",8,5,2,1
"Ondo",8,5,3,0
"Taraba",8,8,0,0
"Delta",7,1,4,2
"Rivers",7,3,2,2
"Jigawa",7,7,0,0
"Zamfara",4,4,0,0
NA,NA,NA,NA,NA
"Abia",2,2,0,0
"Enugu",3,1,2,0
"Niger",2,2,0,0
"Benue",1,1,0,0
"Anambra",1,0,1,0
"Plateau",1,1,0,0
"Imo",1,1,0,0
"Bayelsa",1,1,0,0
"Ebonyi",2,2,0,0
"Kebbi",1,1,0,0
"Nasarawa",1,1,0,0
"Yobe",1,1,0,0
"Total",1728,1370,307,51
