"states","confirmedCases","Day"
"Abuja FCT",38,2
"Adamawa",0,2
"Anambra",0,2
"Bayelsa",0,2
"Borno",0,2
"Delta",0,2
"Enugu",2,2
"Ekiti",2,2
"Imo",0,2
"Kaduna",4,2
"Katsina",0,2
"Kogi",0,2
"Lagos",97,2
"Niger",0,2
"Ondo",0,2
"Oyo",8,2
"Rivers",1,2
"Taraba",0,2
"Zamfara",0,2
"Abia",0,2
"Akwa Ibom",5,2
"Bauchi",3,2
"Benue",1,2
"Cross River",0,2
"Ebonyi",0,2
"Edo",4,2
"Gombe",0,2
"Jigawa",0,2
"Kano",0,2
"Kebbi",0,2
"Kwara",0,2
"Nasarawa",0,2
"Ogun",4,2
"Osun",14,2
"Plateau",0,2
"Sokoto",0,2
"Yobe",0,2
