"states","confirmedCases","Day"
"Abuja FCT",35,1
"Adamawa",0,1
"Anambra",0,1
"Bayelsa",0,1
"Borno",0,1
"Delta",0,1
"Enugu",2,1
"Ekiti",2,1
"Imo",0,1
"Kaduna",4,1
"Katsina",0,1
"Kogi",0,1
"Lagos",91,1
"Niger",0,1
"Ondo",0,1
"Oyo",8,1
"Rivers",1,1
"Taraba",0,1
"Zamfara",0,1
"Abia",0,1
"Akwa Ibom",5,1
"Bauchi",3,1
"Benue",1,1
"Cross River",0,1
"Ebonyi",0,1
"Edo",4,1
"Gombe",0,1
"Jigawa",0,1
"Kano",0,1
"Kebbi",0,1
"Kwara",0,1
"Nasarawa",0,1
"Ogun",4,1
"Osun",14,1
"Plateau",0,1
"Sokoto",0,1
"Yobe",0,1
